aduh
aduhai
ah
aho
ai
aih
akh
alamak
alhamdulillah
amboi
astaga
astagfirullah
ayo
cah
cailah
cih
cihui
cis
cuh
duh
duhai
duilah
eh
emat
ha
hai
hayo
he
hem
hi
his
hoi
horas
hore
huh
hus
ih
kursemangat
lo 
masyaAllah
nah
oh
oi
ong
puah
pus
sio
syabas
uh
uih
waduh
wah
wahai
wai
walah
weh
