acung
ada
adalah
aduk
ajak
alih
ambil
angga
angkat
antri
baca
bakalan
bangun
bayar
bentar
berangkat
berasa
berasal
berbagai
berbahasa
berbeda
berbulu
berbumbu
bercerita
berdasarkan
berdialog
berdurasi
bergelimang
bergengsi
bergerayangan
bergizi
berharap
berharga
berhasil
berhenti
berhubung
berikut
berjalan
berkelas
berlakon
berlangsung
bermain
bernama
berniat
berpelukan
berperan
berpikir
bersalah
bersama
bersembunyi
berujung
berusaha
bikin
bilang
bisa
boikot
buat
buru
butuh
cabut
cari
coba
copot
diam
drop
gagal
gaib
gantung
garap
gaul
geret
habis
hadir
hancur
hidup
hilang
ikut
ingat
istirahat
jadi
jantungan
jatuh
kalah
keburu
kekurangan
kelihatan
keluar
kembali
kena
kesel
kesurupan
ketagihan
ketawa
lalu
larang
lari
lewat
lihat
lulus
lupa
main
makan
mampus
masuk
mati
melainkan
melantur
melakukan
melelahkan
melempem
melewati
melihat
memahami
memaksa
membangkitkan
membawa
membedakan
membekas
memberanikan
memberikan
membingungkan
membosankan
membuat
memecahkan
memilih
memiliki
memperhatikan
mempertahankan
mempertanyakan
memperturutkan
mempunyai
memuaskan
memuja
memukau
menakutkan
menambah
menang
menangis
menangiskan
menarik
menawan
mencampur
mencengkeram
menceritakan
mencerna
mencintai
mencoba
mencuri
mendamba
mendengarkan
menegangkan
menempel
menerima
menetes
mengagetkan
mengajak
mengajarkan
mengalahkan
mengalami
mengantuk
mengasyikkan
mengatakan
mengaum
mengecewakan
mengejutkan
mengeluarkan
mengembalikan
mengenal
mengendarai
mengerikan
mengerti
mengesalkan
mengesankan
menggapai
menggelikan
menggigit
menggugah
menghadap
menghakimi
menghantarkan
mengharukan
mengharuskan
menghibur
menghilangkan
mengikuti
mengingatkan
menginspirasi
mengintimidasi
mengolok-olok
menguasai
mengulang
mengunjungi
menguntungkan
menguras
menikahkan
menikmati
menjadi
menjaga
menjalani
menjanjikan
menjelajah
menjemukan
menjerit-jerit
menjuarai
menonton
menunggu
menurut
menyabet
menyajikan
menyakitkan
menyaksikan
menyebalkan
menyentuh
menyeramkan
menyesal
menyindir
menyita
merasa
merasakan
meraung
meraup
meyakinkan
minta
minum
muat
mulai
muncul
mundur
muntah
naik
nampak
nyut-nyutan
ogah
pacaran
pakai
paling
pamer
pecah
peduli
pengin
percaya
pilih
pulang
punya
pusing
putus
raih
remas
roboh
robot
sampai
selesai
sempat
siap
silahkan
tabrak
tahu
tampak
tampil
tangan
tanggal
tau
tayang
tebak
teka
tembus
terasa
terbaca
terbang
terbuka
terburu
tercapai
terduga
terhindar
terikat
terima
teringat
terjebak
terkagum-kagum
terlihat
ternyata
terpaksa
terpancing
terprovokasi
tersayang
tersebut
tersendiri
tersentuh
tersentuh
tersenyum
tertarik
tertawa
tertutup
terus
tetap
tiba
tidur
tolong
tonton
tunggu
turun
ulang
ulang-ulang
wajib
war
