F23,3,1,1,2,2,2,1,1,2,0,2,1,2,0,2,1,1,1,1,1,2,1,1,0,1,2,2,2,2,4,0,1,0,0,0,1,2,1,1,1,0,1,0,1,0,2,2,1,1,1,0,0,2,0,0,3,2,1,2,0,2,0,1,1,0,0,2,1,1,0,1,0,1,3,0,2,1,0,2,0,1,3,1,6,4,3,2,1,1,1,0,0,1,1,1,1,0,0,2,2
F25,1,0,0,1,1,1,0,0,1,0,2,1,2,0,2,1,0,0,1,1,0,1,1,0,1,2,0,2,1,2,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,2,1,1,1,0,0,1,0,0,2,2,1,2,0,2,0,1,1,0,0,2,1,1,0,1,0,1,2,0,2,0,0,2,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0
F31,0.3333,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.6667,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.6667,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1667,0.25,0.3333,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0
F24,2,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,2,1,2,2,1,1,1,2,3,1,0,0,2,0,0,0,4,1,0,0,1,0,0,2,0,1,1,1,0,1,1,0,0,3,0,1,1,0,0,1,2,0,1,0,2,0,0,0,0,1,0,3,0,0,0,1,2,1,1,0,0,0,3,0,2,0,0,1,1,1,1,1,1,0,1,0,0,2,1,1
F30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F26,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
F32,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0
F18,0.2222,0.3125,0.2941,0.1667,0.1667,0.25,0.25,0.1667,0.1429,0.0556,0.2,0.125,0.2632,0.1429,0.125,0.2857,0.1765,0.25,0.25,0.2667,0.2,0.3333,0.2,0.3333,0.1667,0.2308,0.3571,0.3077,0.3125,0.2632,0.2308,0.4286,0.1739,0.2667,0.4545,0.2308,0.1081,0.25,0.3571,0.4118,0.2222,0.3,0.4,0.2778,0.3158,0.3333,0.3571,0.1,0.3,0.2414,0.1818,0.1,0.1429,0.3846,0.2308,0.1304,0.125,0.1,0.125,0.1429,0.0435,0.1538,0.1,0.25,0.1765,0.2222,0.1111,0.2727,0.0909,0.0,0.3571,0.15,0.0882,0.1667,0.2143,0.125,0.2727,0.2273,0.2273,0.25,0.1053,0.25,0.2,0.1053,0.1739,0.1481,0.1429,0.1111,0.1538,0.0556,0.1111,0.3333,0.1579,0.0588,0.4,0.1667,0.375,0.3,0.1429,0.2857
F19,0.1667,0.0625,0.1176,0.1667,0.1667,0.125,0.0,0.0833,0.0714,0.0,0.2,0.25,0.3158,0.0,0.125,0.1429,0.2941,0.0,0.1875,0.1333,0.0,0.2222,0.1,0.0,0.0833,0.2308,0.0714,0.1538,0.25,0.1579,0.0,0.1429,0.0435,0.1333,0.0909,0.0769,0.1081,0.0417,0.0714,0.1176,0.1111,0.1,0.0,0.1667,0.1053,0.0952,0.1429,0.05,0.2,0.1379,0.0909,0.1,0.0714,0.0769,0.0,0.1304,0.375,0.15,0.1875,0.0714,0.1739,0.0,0.2,0.125,0.1176,0.0,0.3333,0.0909,0.0909,0.1818,0.0714,0.1,0.0294,0.1111,0.1429,0.25,0.0,0.0909,0.1364,0.0,0.1053,0.0833,0.05,0.1579,0.087,0.037,0.0476,0.1111,0.0769,0.1667,0.1667,0.0833,0.0526,0.1176,0.1333,0.1667,0.125,0.15,0.0714,0.1429
